,month,day,hour,precp
1111,7,17,7,0.0
1112,7,17,8,0.0
1113,7,17,9,0.0
1114,7,17,10,0.0
1115,7,17,11,0.0
1116,7,17,12,0.0
1117,7,17,13,0.0
1118,7,17,14,0.0
1119,7,17,15,0.0
1120,7,17,16,0.0
1121,7,17,17,0.0
1122,7,17,18,0.0
1123,7,17,19,0.0
1124,7,17,20,0.0
1125,7,17,21,0.0
1126,7,17,22,0.0
1127,7,17,23,0.0
1128,7,18,0,0.0
1129,7,18,1,0.0
1130,7,18,2,0.0
1131,7,18,3,0.0
1132,7,18,4,0.0
1133,7,18,5,0.0
1134,7,18,6,0.0
1135,7,18,7,0.0
1136,7,18,8,0.0
1137,7,18,9,0.0
1138,7,18,10,0.0
1139,7,18,11,0.0
1140,7,18,12,0.0
1141,7,18,13,0.0
1142,7,18,14,0.0
1143,7,18,15,0.0
1144,7,18,16,10.5
1145,7,18,17,0.5
1146,7,18,18,0.0
